"Delicate Copper Wire","Rough Stone Statue","Braided Copper Ring","Woven Copper Ring","Heavy Copper Ring",
"Heavy Adamantite Ring","Thick Adamantite Necklace","Necklace of the Deep","Heavy Felsteel Ring","Bold Living Ruby",
"Brilliant Glass","Brilliant Living Ruby","Deadly Noble Topaz","Delicate Living Ruby","Flashing Living Ruby",
"Forceful Talasite","Glinting Nightseye","Inscribed Noble Topaz","Jagged Talasite","Mystic Dawnstone",
"Potent Noble Topaz","Purified Nightseye","Purified Shadow Pearl","Quick Dawnstone","Radiant Talasite",
"Reckless Noble Topaz","Regal Talasite","Rigid Star of Elune","Shifting Nightseye","Smooth Dawnstone",
"Solid Star of Elune","Sovereign Nightseye","Sparkling Star of Elune","Steady Talasite","Stormy Star of Elune",
"Subtle Dawnstone","Timeless Nightseye","Veiled Nightseye","Khorium Band of Shadows","Dark Jade Focusing Lens",
"Shadow Crystal Focusing Lens","Accurate Shadow Crystal","Bold Bloodstone","Brilliant Bloodstone","Champion's Huge Citrine",
"Deadly Huge Citrine","Defender's Shadow Crystal","Deft Huge Citrine","Delicate Bloodstone","Energized Dark Jade",
"Etched Shadow Crystal","Fierce Huge Citrine","Flashing Bloodstone","Forceful Dark Jade","Glinting Shadow Crystal",
"Guardian's Shadow Crystal","Inscribed Huge Citrine","Jagged Dark Jade","Lightning Dark Jade","Lucent Huge Citrine",
"Misty Dark Jade","Mysterious Shadow Crystal","Mystic Sun Crystal","Nimble Dark Jade","Potent Huge Citrine",
"Precise Bloodstone","Purified Shadow Crystal","Quick Sun Crystal","Radiant Dark Jade","Reckless Huge Citrine",
"Regal Dark Jade","Resolute Huge Citrine","Resplendent Huge Citrine","Rigid Chalcedony","Shattered Dark Jade",
"Shifting Shadow Crystal","Smooth Sun Crystal","Solid Chalcedony","Sovereign Shadow Crystal","Sparkling Chalcedony",
"Stalwart Huge Citrine","Steady Dark Jade","Stormy Chalcedony","Subtle Sun Crystal","Timeless Shadow Crystal",
"Turbid Dark Jade","Veiled Shadow Crystal","Willful Huge Citrine","Shadow Jade Focusing Lens","Bloodstone Band",
"Crystal Chalcedony Amulet","Crystal Citrine Necklace","Enchanted Pearl","Sun Rock Ring","Earthshadow Ring",
"Jade Ring of Slaying","Khorium Band of Frost","Khorium Inferno Band","Delicate Eternium Ring","Living Ruby Pendant",
"Thick Felsteel Necklace","Blood of Amber","Crimson Sun","Don Julio's Heart","Facet of Eternity",
"Falling Star","Kailee's Rose","Stone of Blades","Eye of the Night","Khorium Band of Leaves",
"Pendant of Frozen Flame","Pendant of Shadow's End","Pendant of Thawing","Pendant of the Null Rune","Pendant of Withering",
"Ring of Arcane Shielding","Braided Eternium Chain","Arcane Khorium Band","Blazing Eternium Band","Bracing Earthstorm Diamond",
"Brutal Earthstorm Diamond","Chaotic Skyfire Diamond","Destructive Skyfire Diamond","Enigmatic Skyfire Diamond","Insightful Earthstorm Diamond",
"Mystical Skyfire Diamond","Powerful Earthstorm Diamond","Relentless Earthstorm Diamond","Swift Skyfire Diamond","Tenacious Earthstorm Diamond",
"Thundering Skyfire Diamond","Amulet of Flowing Life","Hard Khorium Band","Hard Khorium Choker","Loop of Forged Power",
"Pendant of Sunfire","Ring of Flowing Life","Chain of the Twilight Owl","Crown of the Sea Witch","Embrace of the Dawn",
"Ember Skyfire Diamond","Eternal Earthstorm Diamond","Circlet of Arcane Might","Coronet of Verdant Flame","Figurine - Dawnstone Crab",
"Figurine - Felsteel Boar","Figurine - Living Ruby Serpent","Figurine - Nightseye Panther","Figurine - Talasite Owl","Bold Dragon's Eye",
"Brilliant Dragon's Eye","Delicate Dragon's Eye","Flashing Dragon's Eye","Mystic Dragon's Eye","Precise Dragon's Eye",
"Quick Dragon's Eye","Rigid Dragon's Eye","Smooth Dragon's Eye","Solid Dragon's Eye","Sparkling Dragon's Eye",
"Stormy Dragon's Eye","Subtle Dragon's Eye","Bold Crimson Spinel","Brilliant Crimson Spinel","Deadly Pyrestone",
"Delicate Crimson Spinel","Figurine - Crimson Serpent","Figurine - Empyrean Tortoise","Figurine - Khorium Boar","Figurine - Seaspray Albatross",
"Figurine - Shadowsong Panther","Flashing Crimson Spinel","Forceful Seaspray Emerald","Glinting Shadowsong Amethyst","Inscribed Pyrestone",
"Jagged Seaspray Emerald","Mystic Lionseye","Potent Pyrestone","Purified Shadowsong Amethyst","Quick Lionseye",
"Radiant Seaspray Emerald","Reckless Pyrestone","Regal Seaspray Emerald","Rigid Empyrean Sapphire","Shifting Shadowsong Amethyst",
"Smooth Lionseye","Solid Empyrean Sapphire","Sovereign Shadowsong Amethyst","Sparkling Empyrean Sapphire","Steady Seaspray Emerald",
"Stormy Empyrean Sapphire","Subtle Lionseye","The Frozen Eye","The Natural Ward","Timeless Shadowsong Amethyst",
"Veiled Shadowsong Amethyst","Blood Sun Necklace","Jade Dagger Pendant","Shadowmight Ring","Stoneguard Band",
"Accurate Twilight Opal","Bold Scarlet Ruby","Champion's Monarch Topaz","Deadly Monarch Topaz","Defender's Twilight Opal",
"Deft Monarch Topaz","Delicate Scarlet Ruby","Enchanted Tear","Energized Forest Emerald","Etched Twilight Opal",
"Fierce Monarch Topaz","Flashing Scarlet Ruby","Forceful Forest Emerald","Glinting Twilight Opal","Guardian's Twilight Opal",
"Inscribed Monarch Topaz","Jagged Forest Emerald","Lightning Forest Emerald","Misty Forest Emerald","Mysterious Twilight Opal",
"Mystic Autumn's Glow","Nimble Forest Emerald","Potent Monarch Topaz","Precise Scarlet Ruby","Purified Twilight Opal",
"Quick Autumn's Glow","Radiant Forest Emerald","Reckless Monarch Topaz","Regal Forest Emerald","Resolute Monarch Topaz",
"Resplendent Monarch Topaz","Rigid Sky Sapphire","Shattered Forest Emerald","Shifting Twilight Opal","Smooth Autumn's Glow",
"Solid Sky Sapphire","Sovereign Twilight Opal","Sparkling Sky Sapphire","Stalwart Monarch Topaz","Steady Forest Emerald",
"Stormy Sky Sapphire","Subtle Autumn's Glow","Timeless Twilight Opal","Turbid Forest Emerald","Veiled Twilight Opal",
"Willful Monarch Topaz","Brilliant Scarlet Ruby","Lucent Monarch Topaz","Figurine - Emerald Boar","Figurine - Monarch Crab",
"Figurine - Ruby Hare","Figurine - Sapphire Owl","Figurine - Twilight Serpent","Titanium Frostguard Ring","Austere Earthsiege Diamond",
"Beaming Earthsiege Diamond","Bracing Earthsiege Diamond","Chaotic Skyflare Diamond","Destructive Skyflare Diamond","Dream Signet",
"Ember Skyflare Diamond","Emerald Choker","Enigmatic Skyflare Diamond","Eternal Earthsiege Diamond","Forlorn Skyflare Diamond",
"Impassive Skyflare Diamond","Insightful Earthsiege Diamond","Invigorating Earthsiege Diamond","Persistent Earthsiege Diamond","Powerful Earthsiege Diamond",
"Relentless Earthsiege Diamond","Revitalizing Skyflare Diamond","Ring of Earthen Might","Ring of Northern Tears","Ring of Scarlet Shadows",
"Runed Mana Band","Savage Titanium Band","Savage Titanium Ring","Scarlet Signet","Shielded Skyflare Diamond",
"Sky Sapphire Amulet","Swift Skyflare Diamond","Thundering Skyflare Diamond","Tireless Skyflare Diamond","Trenchant Earthsiege Diamond",
"Windfire Band","Icy Prism","Accurate Nightstone","Adept Hessonite","Artful Hessonite",
"Bold Carnelian","Brilliant Carnelian","Deadly Hessonite","Defender's Nightstone","Deft Hessonite",
"Delicate Carnelian","Etched Nightstone","Fierce Hessonite","Fine Hessonite","Flashing Carnelian",
"Forceful Jasper","Fractured Alicite","Glinting Nightstone","Guardian's Nightstone","Inscribed Hessonite",
"Jagged Jasper","Jasper Ring","Keen Hessonite","Lightning Jasper","Nimble Jasper",
"Piercing Jasper","Polished Hessonite","Potent Hessonite","Precise Carnelian","Puissant Jasper",
"Purified Nightstone","Quick Alicite","Reckless Hessonite","Regal Jasper","Retaliating Nightstone",
"Rigid Zephyrite","Sensei's Jasper","Shifting Nightstone","Skillful Hessonite","Smooth Alicite",
"Solid Zephyrite","Sovereign Nightstone","Sparkling Zephyrite","Steady Jasper","Stormy Zephyrite",
"Subtle Alicite","Timeless Nightstone","Veiled Nightstone","Zen Jasper","Titanium Earthguard Ring",
"Titanium Impact Band","Titanium Spellshock Ring","Stardust","Alicite Pendant","Titanium Earthguard Chain",
"Titanium Impact Choker","Titanium Spellshock Necklace","Accurate Dreadstone","Bold Cardinal Ruby","Brilliant Cardinal Ruby",
"Champion's Ametrine","Deadly Ametrine","Defender's Dreadstone","Deft Ametrine","Delicate Cardinal Ruby",
"Energized Eye of Zul","Etched Dreadstone","Fierce Ametrine","Flashing Cardinal Ruby","Forceful Eye of Zul",
"Glinting Dreadstone","Guardian's Dreadstone","Inscribed Ametrine","Jagged Eye of Zul","Lightning Eye of Zul",
"Lucent Ametrine","Misty Eye of Zul","Mysterious Dreadstone","Mystic King's Amber","Nightmare Tear",
"Nimble Eye of Zul","Potent Ametrine","Precise Cardinal Ruby","Purified Dreadstone","Quick King's Amber",
"Radiant Eye of Zul","Reckless Ametrine","Regal Eye of Zul","Resolute Ametrine","Resplendent Ametrine",
"Rigid Majestic Zircon","Shattered Eye of Zul","Shifting Dreadstone","Smooth King's Amber","Solid Majestic Zircon",
"Sovereign Dreadstone","Sparkling Majestic Zircon","Stalwart Ametrine","Steady Eye of Zul","Stormy Majestic Zircon",
"Subtle King's Amber","Timeless Dreadstone","Turbid Eye of Zul","Veiled Dreadstone","Willful Ametrine",
"Jeweler's Ruby Monocle","Hessonite Band","Jeweler's Sapphire Monocle","Carnelian Spikes","Jeweler's Amber Monocle",
"Nightstone Choker","Accurate Demonseye","Adept Ember Topaz","Artful Ember Topaz","Bold Inferno Ruby",
"Brilliant Inferno Ruby","Deadly Ember Topaz","Defender's Demonseye","Deft Ember Topaz","Delicate Inferno Ruby",
"Etched Demonseye","Fierce Ember Topaz","Fine Ember Topaz","Flashing Inferno Ruby","Forceful Dream Emerald",
"Fractured Amberjewel","Glinting Demonseye","Guardian's Demonseye","Inscribed Ember Topaz","Jagged Dream Emerald",
"Keen Ember Topaz","Lightning Dream Emerald","Lucent Ember Topaz","Mystic Amberjewel","Nimble Dream Emerald",
"Piercing Dream Emerald","Polished Ember Topaz","Potent Ember Topaz","Precise Inferno Ruby","Puissant Dream Emerald",
"Purified Demonseye","Quick Amberjewel","Reckless Ember Topaz","Regal Dream Emerald","Resolute Ember Topaz",
"Resplendent Ember Topaz","Retaliating Demonseye","Rigid Ocean Sapphire","Sensei's Dream Emerald","Shifting Demonseye",
"Skillful Ember Topaz","Smooth Amberjewel","Solid Ocean Sapphire","Sovereign Demonseye","Sparkling Ocean Sapphire",
"Steady Dream Emerald","Stormy Ocean Sapphire","Subtle Amberjewel","Timeless Demonseye","Veiled Demonseye",
"Vivid Dream Emerald","Willful Ember Topaz","Zen Dream Emerald","The Perforator","Agile Shadowspirit Diamond",
"Austere Shadowspirit Diamond","Bracing Shadowspirit Diamond","Burning Shadowspirit Diamond","Chaotic Shadowspirit Diamond","Destructive Shadowspirit Diamond",
"Effulgent Shadowspirit Diamond","Ember Shadowspirit Diamond","Enigmatic Shadowspirit Diamond","Eternal Shadowspirit Diamond","Fleet Shadowspirit Diamond",
"Forlorn Shadowspirit Diamond","Impassive Shadowspirit Diamond","Powerful Shadowspirit Diamond","Reverberating Shadowspirit Diamond","Revitalizing Shadowspirit Diamond",
"Bold Chimera's Eye","Brilliant Chimera's Eye","Delicate Chimera's Eye","Flashing Chimera's Eye","Fractured Chimera's Eye",
"Mystic Chimera's Eye","Precise Chimera's Eye","Quick Chimera's Eye","Rigid Chimera's Eye","Smooth Chimera's Eye",
"Solid Chimera's Eye","Sparkling Chimera's Eye","Stormy Chimera's Eye","Subtle Chimera's Eye","Fire Prism",
"Ornate Band","Primal Diamond","Serpent's Heart","Vicious Amberjewel Band","Vicious Ruby Signet",
"Vicious Sapphire Ring","Shadowfire Necklace","Vicious Amberjewel Pendant","Vicious Ruby Choker","Vicious Sapphire Necklace",
"Band of Blades","Brazen Elementium Medallion","Elementium Destroyer's Ring","Elementium Guardian","Elementium Moebius Band",
"Entwined Elementium Choker","Eye of Many Deaths","Punisher's Band","Ring of Warring Elements","Accurate Shadow Spinel",
"Adept Lava Coral","Artful Lava Coral","Balanced Elven Peridot","Bold Queen's Garnet","Brilliant Queen's Garnet",
"Champion's Lava Coral","Crafty Lava Coral","Deadly Lava Coral","Defender's Shadow Spinel","Deft Lava Coral",
"Delicate Queen's Garnet","Energized Elven Peridot","Etched Shadow Spinel","Fierce Lava Coral","Fine Lava Coral",
"Flashing Queen's Garnet","Forceful Elven Peridot","Fractured Lightstone","Glinting Shadow Spinel","Guardian's Shadow Spinel",
"Infused Elven Peridot","Inscribed Lava Coral","Jagged Elven Peridot","Keen Lava Coral","Lightning Elven Peridot",
"Lucent Lava Coral","Misty Elven Peridot","Mysterious Shadow Spinel","Mystic Lightstone","Nimble Elven Peridot",
"Piercing Elven Peridot","Polished Lava Coral","Potent Lava Coral","Precise Queen's Garnet","Puissant Elven Peridot",
"Purified Shadow Spinel","Quick Lightstone","Radiant Elven Peridot","Reckless Lava Coral","Regal Elven Peridot",
"Resolute Lava Coral","Resplendent Lava Coral","Retaliating Shadow Spinel","Rigid Deepholm Iolite","Sensei's Elven Peridot",
"Shattered Elven Peridot","Shifting Shadow Spinel","Skillful Lava Coral","Smooth Lightstone","Solid Deepholm Iolite",
"Sovereign Shadow Spinel","Sparkling Deepholm Iolite","Splendid Lava Coral","Stalwart Lava Coral","Steady Elven Peridot",
"Stormy Deepholm Iolite","Subtle Lightstone","Tenuous Lava Coral","Timeless Shadow Spinel","Turbid Elven Peridot",
"Veiled Shadow Spinel","Vivid Elven Peridot","Wicked Lava Coral","Willful Lava Coral","Zen Elven Peridot",
"Rhinestone Sunglasses","Artful Tiger Opal","Deadly Tiger Opal","Etched Roguestone","Lightning Alexandrite",
"Mysterious Roguestone","Rigid Lapis Lazuli","Vivid Alexandrite","Scrying Roguestone","River's Heart",
"Sun's Radiance","Assassin's Roguestone","Deft Tiger Opal","Delicate Pandarian Garnet","Jagged Alexandrite",
"Keen Tiger Opal","Nimble Alexandrite","Veiled Roguestone","Fine Tiger Opal","Fractured Sunstone",
"Regal Alexandrite","Shifting Roguestone","Solid Lapis Lazuli","Sovereign Roguestone","Willful Tiger Opal",
"Zen Alexandrite","Vermilion Onyx","Wild Jade","Glinting Roguestone","Lucent Tiger Opal",
"Misty Alexandrite","Precise Pandarian Garnet","Reckless Tiger Opal","Shattered Alexandrite","Champion's Tiger Opal",
"Guardian's Roguestone","Mystic Sunstone","Polished Tiger Opal","Sensei's Alexandrite","Sparkling Lapis Lazuli",
"Turbid Alexandrite","Imperial Amethyst","Assassin's Serpent's Eye","Bold Serpent's Eye","Brilliant Serpent's Eye",
"Delicate Serpent's Eye","Flashing Serpent's Eye","Fractured Serpent's Eye","Lucent Serpent's Eye","Mysterious Serpent's Eye",
"Precise Serpent's Eye","Quick Serpent's Eye","Resplendent Serpent's Eye","Rigid Serpent's Eye","Smooth Serpent's Eye",
"Solid Serpent's Eye","Sparkling Serpent's Eye","Subtle Serpent's Eye","Tense Serpent's Eye","Willful Serpent's Eye",
"Accurate Roguestone","Adept Tiger Opal","Balanced Alexandrite","Effulgent Alexandrite","Flashing Pandarian Garnet",
"Tenuous Tiger Opal","Primordial Ruby","Secrets of the Stone","Accurate Imperial Amethyst","Adept Vermilion Onyx",
"Artful Vermilion Onyx","Balanced Wild Jade","Bold Primordial Ruby","Brilliant Primordial Ruby","Champion's Vermilion Onyx",
"Crafty Vermilion Onyx","Deadly Vermilion Onyx","Defender's Imperial Amethyst","Deft Vermilion Onyx","Delicate Primordial Ruby",
"Effulgent Wild Jade","Energized Wild Jade","Etched Imperial Amethyst","Fierce Vermilion Onyx","Fine Vermilion Onyx",
"Flashing Primordial Ruby","Forceful Wild Jade","Fractured Sun's Radiance","Glinting Imperial Amethyst","Guardian's Imperial Amethyst",
"Inscribed Vermilion Onyx","Jagged Wild Jade","Keen Vermilion Onyx","Lightning Wild Jade","Lucent Vermilion Onyx",
"Misty Wild Jade","Mysterious Imperial Amethyst","Mystic Sun's Radiance","Nimble Wild Jade","Piercing Wild Jade",
"Polished Vermilion Onyx","Potent Vermilion Onyx","Precise Primordial Ruby","Puissant Wild Jade","Purified Imperial Amethyst",
"Quick Sun's Radiance","Radiant Wild Jade","Reckless Vermilion Onyx","Regal Wild Jade","Resolute Vermilion Onyx",
"Resplendent Vermilion Onyx","Retaliating Imperial Amethyst","Rigid River's Heart","Sensei's Wild Jade","Shattered Wild Jade",
"Shifting Imperial Amethyst","Skillful Vermilion Onyx","Smooth Sun's Radiance","Solid River's Heart","Sovereign Imperial Amethyst",
"Sparkling River's Heart","Splendid Vermilion Onyx","Stalwart Vermilion Onyx","Steady Wild Jade","Stormy River's Heart",
"Subtle Sun's Radiance","Tenuous Vermilion Onyx","Timeless Imperial Amethyst","Turbid Wild Jade","Veiled Imperial Amethyst",
"Vivid Wild Jade","Wicked Vermilion Onyx","Willful Vermilion Onyx","Zen Wild Jade","Defender's Roguestone",
"Fierce Tiger Opal","Inscribed Tiger Opal","Piercing Alexandrite","Quick Sunstone","Steady Alexandrite",
"Stormy Lapis Lazuli","Brilliant Pandarian Garnet","Energized Alexandrite","Potent Tiger Opal","Skillful Tiger Opal",
"Timeless Roguestone","Crafty Tiger Opal","Forceful Alexandrite","Purified Roguestone","Smooth Sunstone",
"Stalwart Tiger Opal","Bold Pandarian Garnet","Puissant Alexandrite","Splendid Tiger Opal","Tense Roguestone",
"Wicked Tiger Opal","Radiant Alexandrite","Resolute Tiger Opal","Resplendent Tiger Opal","Retaliating Roguestone",
"Subtle Sunstone","Agile Primal Diamond","Austere Primal Diamond","Burning Primal Diamond","Destructive Primal Diamond",
"Effulgent Primal Diamond","Ember Primal Diamond","Enigmatic Primal Diamond","Eternal Primal Diamond","Fleet Primal Diamond",
"Forlorn Primal Diamond","Impassive Primal Diamond","Powerful Primal Diamond","Reverberating Primal Diamond","Revitalizing Primal Diamond",
"Band of Blood","Golembreaker Amulet","Heart of the Earth","Lionsfall Ring","Lord's Signet",
"Reflection of the Sea","Roguestone Shadowband","Skymage Circle","Tiger Opal Pendant","Widow Chain",
"Assassin's Imperial Amethyst","Jade Owl","Sapphire Cub","Tense Imperial Amethyst","Jeweled Onyx Panther",
"Jade Panther","Ruby Panther","Sapphire Panther","Sunstone Panther"
