"Light Leather","Light Armor Kit","Handstitched Leather Boots","Handstitched Leather Bracers","Handstitched Leather Cloak",
"Bladeshadow Leggings","Bladeshadow Wristguards","Bracers of Flowing Serenity","Bracers of the Hunter-Killer","Deathscale Leggings",
"Leggings of Nature's Champion","Rended Earth Leggings","Thundering Deathscale Wristguards","Assassin's Chestplate","Charscale Leg Armor",
"Chestguard of Nature's Fury","Dragonkiller Tunic","Dragonscale Leg Armor","Drakehide Leg Armor","Twilight Scale Chestguard",
"Razor-Edged Cloak","Twilight Dragonscale Cloak","Vicious Charscale Chest","Vicious Charscale Helm","Vicious Dragonscale Chest",
"Vicious Dragonscale Legs","Vicious Leather Chest","Vicious Leather Legs","Vicious Wyrmhide Helm","Vicious Wyrmhide Legs",
"Sha Armor Kit Tier 1","Misthide Boots Tier 1","Stormscale Bracers Tier 1","Misthide Bracers Tier 1","Stormscale Belt Tier 1",
"Brutal Leg Armor Tier 1","Misthide Belt Tier 1","Stormscale Boots Tier 1","Misthide Shoulders Tier 1","Stormscale Gloves Tier 1",
"Misthide Gloves Tier 1","Sha-Touched Leg Armor Tier 1","Stormscale Shoulders Tier 1","Magnificent Hide","Misthide Leggings Tier 1",
"Stormscale Helm Tier 1","Stormscale Drape Tier 1","Misthide Drape Tier 1","Misthide Helm Tier 1","Stormscale Chestguard Tier 1",
"Toughened Leg Armor Tier 1","Contender's Dragonscale Bracers Tier 1","Contender's Leather Bracers Tier 1","Contender's Scale Bracers Tier 1","Contender's Wyrmhide Bracers Tier 1",
"Quick Strike Cloak Tier 1","Misthide Chestguard Tier 1","Stormscale Leggings Tier 1","Contender's Dragonscale Belt Tier 1","Contender's Dragonscale Boots Tier 1",
"Contender's Dragonscale Gloves Tier 1","Contender's Dragonscale Leggings Tier 1","Contender's Leather Belt Tier 1","Contender's Leather Boots Tier 1","Contender's Leather Gloves Tier 1",
"Contender's Leather Leggings Tier 1","Contender's Scale Belt Tier 1","Contender's Scale Boots Tier 1","Contender's Scale Gloves Tier 1","Contender's Scale Leggings Tier 1",
"Contender's Wyrmhide Belt Tier 1","Contender's Wyrmhide Boots Tier 1","Contender's Wyrmhide Gloves Tier 1","Contender's Wyrmhide Leggings Tier 1","Draconic Leg Reinforcements Rank 3",
"Fur Lining - Agility Rank 3","Fur Lining - Intellect Rank 3","Fur Lining - Stamina Rank 3","Fur Lining - Strength Rank 3","Heavy Leg Reinforcements Rank 3",
"Primal Leg Reinforcements Rank 3","Angerhide Leg Armor Tier 2","Contender's Dragonscale Shoulders Tier 1","Contender's Leather Shoulders Tier 1","Contender's Scale Shoulders Tier 1",
"Contender's Wyrmhide Shoulders Tier 1","Ironscale Leg Armor Tier 2","Shadowleather Leg Armor Tier 2","Magnificent Hide Pack","Contender's Dragonscale Chestguard Tier 1",
"Contender's Dragonscale Helm Tier 1","Contender's Leather Chestguard Tier 1","Contender's Leather Helm Tier 1","Contender's Scale Chestguard Tier 1","Contender's Scale Helm Tier 1",
"Contender's Wyrmhide Chestguard Tier 1","Contender's Wyrmhide Helm Tier 1","Drums of Rage","Crafted Dreadful Gladiator's Armbands of Meditation","Crafted Dreadful Gladiator's Armbands of Prowess",
"Crafted Dreadful Gladiator's Armwraps of Accuracy","Crafted Dreadful Gladiator's Armwraps of Alacrity","Crafted Dreadful Gladiator's Belt of Cruelty","Crafted Dreadful Gladiator's Belt of Meditation","Crafted Dreadful Gladiator's Bindings of Meditation",
"Crafted Dreadful Gladiator's Bindings of Prowess","Crafted Dreadful Gladiator's Boots of Alacrity","Crafted Dreadful Gladiator's Boots of Cruelty","Crafted Dreadful Gladiator's Chain Armor","Crafted Dreadful Gladiator's Chain Gauntlets",
"Crafted Dreadful Gladiator's Chain Helm","Crafted Dreadful Gladiator's Chain Leggings","Crafted Dreadful Gladiator's Chain Spaulders","Crafted Dreadful Gladiator's Copperskin Gloves","Crafted Dreadful Gladiator's Copperskin Helm",
"Crafted Dreadful Gladiator's Copperskin Legguards","Crafted Dreadful Gladiator's Copperskin Spaulders","Crafted Dreadful Gladiator's Copperskin Tunic","Crafted Dreadful Gladiator's Dragonhide Gloves","Crafted Dreadful Gladiator's Dragonhide Helm",
"Crafted Dreadful Gladiator's Dragonhide Legguards","Crafted Dreadful Gladiator's Dragonhide Robes","Crafted Dreadful Gladiator's Dragonhide Spaulders","Crafted Dreadful Gladiator's Ironskin Gloves","Crafted Dreadful Gladiator's Ironskin Helm",
"Crafted Dreadful Gladiator's Ironskin Legguards","Crafted Dreadful Gladiator's Ironskin Spaulders","Crafted Dreadful Gladiator's Ironskin Tunic","Crafted Dreadful Gladiator's Kodohide Gloves","Crafted Dreadful Gladiator's Kodohide Helm",
"Crafted Dreadful Gladiator's Kodohide Legguards","Crafted Dreadful Gladiator's Kodohide Robes","Crafted Dreadful Gladiator's Kodohide Spaulders","Crafted Dreadful Gladiator's Leather Footguards of Alacrity","Crafted Dreadful Gladiator's Leather Footguards of Meditation",
"Crafted Dreadful Gladiator's Leather Gloves","Crafted Dreadful Gladiator's Leather Helm","Crafted Dreadful Gladiator's Leather Legguards","Crafted Dreadful Gladiator's Leather Spaulders","Crafted Dreadful Gladiator's Leather Tunic",
"Crafted Dreadful Gladiator's Linked Armor","Crafted Dreadful Gladiator's Linked Gauntlets","Crafted Dreadful Gladiator's Linked Helm","Crafted Dreadful Gladiator's Linked Leggings","Crafted Dreadful Gladiator's Linked Spaulders",
"Crafted Dreadful Gladiator's Links of Accuracy","Crafted Dreadful Gladiator's Links of Cruelty","Crafted Dreadful Gladiator's Mail Armor","Crafted Dreadful Gladiator's Mail Footguards of Alacrity","Crafted Dreadful Gladiator's Mail Footguards of Meditation",
"Crafted Dreadful Gladiator's Mail Gauntlets","Crafted Dreadful Gladiator's Mail Helm","Crafted Dreadful Gladiator's Mail Leggings","Crafted Dreadful Gladiator's Mail Spaulders","Crafted Dreadful Gladiator's Ringmail Armor",
"Crafted Dreadful Gladiator's Ringmail Gauntlets","Crafted Dreadful Gladiator's Ringmail Helm","Crafted Dreadful Gladiator's Ringmail Leggings","Crafted Dreadful Gladiator's Ringmail Spaulders","Crafted Dreadful Gladiator's Sabatons of Alacrity",
"Crafted Dreadful Gladiator's Sabatons of Cruelty","Crafted Dreadful Gladiator's Waistband of Accuracy","Crafted Dreadful Gladiator's Waistband of Cruelty","Crafted Dreadful Gladiator's Waistguard of Cruelty","Crafted Dreadful Gladiator's Waistguard of Meditation",
"Crafted Dreadful Gladiator's Wristguards of Accuracy","Crafted Dreadful Gladiator's Wristguards of Alacrity","Crafted Dreadful Gladiator's Wyrmhide Gloves","Crafted Dreadful Gladiator's Wyrmhide Helm","Crafted Dreadful Gladiator's Wyrmhide Legguards",
"Crafted Dreadful Gladiator's Wyrmhide Robes","Crafted Dreadful Gladiator's Wyrmhide Spaulders","Chestguard of Earthen Harmony Tier 1","Chestguard of Nemeses Tier 1","Fists of Lightning Tier 1",
"Gloves of Earthen Harmony Tier 1","Greyshadow Chestguard Tier 1","Greyshadow Gloves Tier 1","Lifekeeper's Gloves Tier 1","Lifekeeper's Robe Tier 1",
"Liferuned Leather Gloves Tier 1","Murderer's Gloves Tier 1","Nightfire Robe Tier 1","Raiment of Blood and Bone Tier 1","Raven Lord's Gloves Tier 1",
"Stormbreaker Chestguard Tier 1","Wildblood Gloves Tier 1","Wildblood Vest Tier 1","Gorge Stalker Belt","Gorge Stalker Legplates",
"Krasari Prowler Belt","Krasari Prowler Britches","Pennyroyal Belt","Pennyroyal Leggings","Snow Lily Belt",
"Snow Lily Britches","Cloud Serpent Helm","Cloud Serpent Sabatons","Dreadrunner Helm","Dreadrunner Sabatons",
"Quilen Hide Boots","Quilen Hide Helm","Spirit Keeper Footguards","Spirit Keeper Helm","Crafted Malevolent Gladiator's Armbands of Meditation",
"Crafted Malevolent Gladiator's Armbands of Prowess","Crafted Malevolent Gladiator's Armwraps of Accuracy","Crafted Malevolent Gladiator's Armwraps of Alacrity","Crafted Malevolent Gladiator's Belt of Cruelty","Crafted Malevolent Gladiator's Belt of Meditation",
"Crafted Malevolent Gladiator's Bindings of Meditation","Crafted Malevolent Gladiator's Bindings of Prowess","Crafted Malevolent Gladiator's Boots of Alacrity","Crafted Malevolent Gladiator's Boots of Cruelty","Crafted Malevolent Gladiator's Chain Armor",
"Crafted Malevolent Gladiator's Chain Gauntlets","Crafted Malevolent Gladiator's Chain Helm","Crafted Malevolent Gladiator's Chain Leggings","Crafted Malevolent Gladiator's Chain Spaulders","Crafted Malevolent Gladiator's Copperskin Gloves",
"Crafted Malevolent Gladiator's Copperskin Helm","Crafted Malevolent Gladiator's Copperskin Legguards","Crafted Malevolent Gladiator's Copperskin Spaulders","Crafted Malevolent Gladiator's Copperskin Tunic","Crafted Malevolent Gladiator's Dragonhide Gloves",
"Crafted Malevolent Gladiator's Dragonhide Helm","Crafted Malevolent Gladiator's Dragonhide Legguards","Crafted Malevolent Gladiator's Dragonhide Robes","Crafted Malevolent Gladiator's Dragonhide Spaulders","Crafted Malevolent Gladiator's Footguards of Alacrity",
"Crafted Malevolent Gladiator's Footguards of Alacrity","Crafted Malevolent Gladiator's Footguards of Meditation","Crafted Malevolent Gladiator's Footguards of Meditation","Crafted Malevolent Gladiator's Ironskin Gloves","Crafted Malevolent Gladiator's Ironskin Helm",
"Crafted Malevolent Gladiator's Ironskin Legguards","Crafted Malevolent Gladiator's Ironskin Spaulders","Crafted Malevolent Gladiator's Ironskin Tunic","Crafted Malevolent Gladiator's Kodohide Gloves","Crafted Malevolent Gladiator's Kodohide Helm",
"Crafted Malevolent Gladiator's Kodohide Legguards","Crafted Malevolent Gladiator's Kodohide Robes","Crafted Malevolent Gladiator's Kodohide Spaulders","Crafted Malevolent Gladiator's Leather Gloves","Crafted Malevolent Gladiator's Leather Helm",
"Crafted Malevolent Gladiator's Leather Legguards","Crafted Malevolent Gladiator's Leather Spaulders","Crafted Malevolent Gladiator's Leather Tunic","Crafted Malevolent Gladiator's Linked Armor","Crafted Malevolent Gladiator's Linked Gauntlets",
"Crafted Malevolent Gladiator's Linked Helm","Crafted Malevolent Gladiator's Linked Leggings","Crafted Malevolent Gladiator's Linked Spaulders","Crafted Malevolent Gladiator's Links of Accuracy","Crafted Malevolent Gladiator's Links of Cruelty",
"Crafted Malevolent Gladiator's Mail Armor","Crafted Malevolent Gladiator's Mail Gauntlets","Crafted Malevolent Gladiator's Mail Helm","Crafted Malevolent Gladiator's Mail Leggings","Crafted Malevolent Gladiator's Mail Spaulders",
"Crafted Malevolent Gladiator's Ringmail Armor","Crafted Malevolent Gladiator's Ringmail Gauntlets","Crafted Malevolent Gladiator's Ringmail Helm","Crafted Malevolent Gladiator's Ringmail Leggings","Crafted Malevolent Gladiator's Ringmail Spaulders",
"Crafted Malevolent Gladiator's Sabatons of Alacrity","Crafted Malevolent Gladiator's Sabatons of Cruelty","Crafted Malevolent Gladiator's Waistband of Accuracy","Crafted Malevolent Gladiator's Waistband of Cruelty","Crafted Malevolent Gladiator's Waistguard of Cruelty",
"Crafted Malevolent Gladiator's Waistguard of Meditation","Crafted Malevolent Gladiator's Wristguards of Accuracy","Crafted Malevolent Gladiator's Wristguards of Alacrity","Crafted Malevolent Gladiator's Wyrmhide Gloves","Crafted Malevolent Gladiator's Wyrmhide Helm",
"Crafted Malevolent Gladiator's Wyrmhide Legguards","Crafted Malevolent Gladiator's Wyrmhide Robes","Crafted Malevolent Gladiator's Wyrmhide Spaulders","Accelerated Hardened Magnificent Hide","Hardened Magnificent Hide"
